procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 601620 10649524  19272 515788   20 1013   616  2130 1847    2  0  0 99  0  0  0
 3  0 601620 10640192  19344 519684    0    0     0   198 3035 5084  1  1 98  0  0  0
 0  0 601620 10646188  19344 519700    6    0     6     0  956 1569  0  0 100  0  0  0
 1  0 601620 10638340  19356 519704    0    0     2    30 4849 8632  1  1 98  0  0  0
 0  0 601364 10572880  20312 540576 3360    0 12808  5176 5924 8727  4  2 93  1  0  0
 0  0 601364 10580564  20312 540560    0    0     0     0 1635 2670  0  0 99  0  0  0
 0  0 601364 10575340  20320 540564    4    0     4    56 3126 5312  1  1 99  0  0  0
 0  0 601364 10575312  20328 540536   16    0    16    64 2562 4388  1  0 99  0  0  0
 0  0 601364 10581336  20328 540540    2    0     2     0 3415 5950  0  1 99  0  0  0
 0  0 601364 10569840  20344 540888   38    0   154    52 3496 5937  1  1 98  0  0  0
 0  0 601364 10567060  20352 540924    0    0    14     8 3012 5276  0  0 99  0  0  0
 0  1 601364 10476256  20932 590804    4    0 25242    94 2488 3561  1  1 97  1  0  0
 0  0 601108 10289952  28572 660736   24    0 38420    72 5069 46349  6  5 87  2  0  0
 1  0 601108 9920588  28588 663128   10    0  1158    54 5481 9625  2  2 96  0  0  0
 1  0 601108 8221632  28588 663180   18    0    18     0 2294 3306  5  4 91  0  0  0
 1  0 601108 6461648  28596 663236    2    0     2     8 3134 4982  5  4 90  0  0  0
 0  1 601108 5850916  30312 712072   12    0 22568   242 4046 5627  5  3 90  2  0  0
 6  0 601108 691096  30312 722368    0    0  5190     0 3573 3032 27 23 50  0  0  0
 5  6 1762712  76920   1320 150296    0 580064 48872 583788 11502 11009 11 47 28 14  0  0
 2  3 671136 10891824   7820 367948 3582 741406 228353 741548 24800 28872  3 35 21 40  0  0
 0  0 670980 10868492   9152 399992  370    0 16826     0 2436 3280  1  1 96  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1 653836 10731004  16312 447260 12110    0 39360    60 8464 10351  3  3 89  5  0  0
 0  0 644008 10711568  16460 448904 5292    0  6192     0 4264 6215  1  1 96  1  0  0
 0  0 643832 10706008  16460 449392  100    0   330     0 4549 8175  1  1 98  0  0  0
 1  0 643780 10705200  16476 452968  110    0  1894    32 2720 4607  1  1 98  0  0  0
 0  0 643760 10709396  16476 453400   18    0   118     0 2804 4591  1  1 98  0  0  0
 0  0 643692 10704484  16476 453700   40    0   188     0 2444 4198  0  1 99  0  0  0
 0  0 643664 10701156  16504 453900   10    0   100    78 4098 6956  1  1 98  0  0  0
 0  0 643632 10705132  16516 459100   30    0  2798     0 3375 5895  1  1 97  1  0  0
 0  0 643604 10698076  16516 459208   16    0    68     0 2415 4242  0  1 99  0  0  0
 1  0 643580 10692296  16536 459164   18    0    18    22 4156 6873  1  2 97  0  0  0
 1  0 643464 10524660  21408 557144  262    0 49538   872 3027 3470  2  1 95  2  0  0
 0  0 643460 10582368  21416 557312    4    0    38     0 3074 5284  0  1 99  0  0  0
 0  0 643424 10584764  21424 557312   24    0    24     6 5149 9097  1  1 98  0  0  0
 0  0 633560 10569884  21464 570276 4398    0  9322  1474 5311 7958  3  1 94  2  0  0
 0  0 633540 10566968  21464 570280   14    0    14     0 3947 6726  1  1 98  0  0  0
 0  0 633540 10569308  21484 570288    0    0     0    64 2252 3983  0  1 99  0  0  0
 0  0 633452 10571520  21524 570528  194    0   216     0 1647 2570  0  0 99  0  0  0
 2  0 633444 10561980  21524 570528   10    0    10     0 3016 5186  1  1 99  0  0  0
