procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 10687624   5408 666404    0    0   464  1246 1616    2  0  0 99  0  0  0
 0  0      0 10686616   5408 666404    0    0     0     0  412  625  0  0 100  0  0  0
 0  0      0 10688960   5416 666396    0    0     0    16  895 1475  0  0 100  0  0  0
 0  0      0 10688960   5416 666396    0    0     0     0  154  276  0  0 100  0  0  0
 1  0      0 10687368   5416 666396    0    0     0     0 2385 4358  0  0 99  0  0  0
 0  0      0 10684292   5424 666388    0    0     0     6  843 1414  0  0 100  0  0  0
 0  0      0 10683164   5496 670256    0    0     0   172  333  434  0  0 100  0  0  0
 1  0      0 10680592   5496 670252    0    0     0     0  922 1523  0  0 100  0  0  0
 1  0      0 10680592   5496 670252    0    0     0    34   68   96  0  0 100  0  0  0
 0  0      0 10685812   5504 670244    0    0     0    14 2436 4404  0  0 99  0  0  0
 0  0      0 10688616   5504 670244    0    0     0     0  931 1505  0  0 100  0  0  0
 0  0      0 10688688   5504 670184    0    0     0     0  181  312  0  0 100  0  0  0
 0  0      0 10687320   5512 670188    0    0     0     6  953 1569  0  0 100  0  0  0
 0  0      0 10687320   5512 670188    0    0     0     0  117  195  0  0 100  0  0  0
 0  0      0 10683464   5512 670188    0    0     0  3650 2503 4378  0  1 99  0  0  0
 0  1      0 10509240   7344 839860    0    0    40 85160 2698 4951  0  2 95  3  0  0
 1  0      0 10165044   9952 1181236    0    0     0 170300 3437 6653  0  4 92  4  0  0
 1  0      0 9829768  12516 1517516    0    0     0 167156 4122 7767  0  4 91  4  0  0
 1  0      0 9488656  15092 1854860    0    0     0 168204 3413 6635  0  4 92  4  0  0
 0  1      0 9156888  17588 2181516    0    0     0 162962 5580 10486  0  5 91  4  0  0
 1  0      0 8805548  20200 2523928    0    0     0 170302 4285 8169  0  4 91  4  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 8547812  22152 2776908    0    0     0 124368 2650 4916  0  3 93  3  0  0
 0  0      0 8548328  22152 2776920    0    0     0  3654 1049 1732  0  0 100  0  0  0
 1  0      0 8548328  22152 2776920    0    0     0     0   75  124  0  0 100  0  0  0
 0  0      0 8549856  22160 2776912    0    0     0    14 1912 3484  0  0 99  0  0  0
 1  0      0 8547844  22160 2776916    0    0     0     0 1096 1854  0  0 100  0  0  0
 0  0      0 8547844  22160 2776916    0    0     0     0  128  215  0  0 100  0  0  0
 0  0      0 8548096  22168 2777436    0    0     0     6  937 1545  0  0 100  0  0  0
 0  0      0 8548096  22168 2777436    0    0     0     0   56   91  0  0 100  0  0  0
 0  0      0 8547652  22168 2777436    0    0     0     0 1943 3527  0  0 99  0  0  0
 0  0      0 8548448  22176 2777440    0    0     0     6 1195 1916  0  0 99  0  0  0
 0  0      0 8547188  22176 2777440    0    0     0    88  155  255  0  0 100  0  0  0
 0  0      0 8548196  22176 2777440    0    0     0     0 1151 1813  0  0 100  0  0  0
 0  0      0 8548196  22184 2777440    0    0     0     6  151  258  0  0 100  0  0  0
 0  0      0 8548580  22184 2777440    0    0     0     0 2218 4108  0  0 99  0  0  0
 1  0      0 8552980  22184 2777440    0    0     0     0 1061 1745  0  0 100  0  0  0
 0  0      0 8548792  22264 2781320    0    0     0   188  319  407  0  0 100  0  0  0
 0  0      0 8545076  22264 2781320    0    0     0     0 1019 1688  0  0 100  0  0  0
 0  0      0 8545076  22264 2781320    0    0     0     0   93  161  0  0 100  0  0  0
 0  0      0 8546160  22272 2781320    0    0     0     8 1964 3573  0  0 99  0  0  0
 0  0      0 8542828  22272 2781324    0    0     0     0 1196 1968  0  0 100  0  0  0
 0  0      0 8542828  22272 2781324    0    0     0     0  103  179  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 8543440  22280 2781320    0    0     0     6  895 1470  0  0 100  0  0  0
 0  0      0 8543656  22280 2781224    0    0     0     0  146  263  0  0 100  0  0  0
 2  0      0 8544340  22280 2781224    0    0     0  3650 1365 2547  0  0 100  0  0  0
 0  0      0 8543908  22280 2781232    0    0     0     0 1822 3047  0  0 99  0  0  0
 0  0      0 8543908  22288 2781224    0    0     0    48   80  118  0  0 100  0  0  0
 0  0      0 8545208  22288 2781224    0    0     0     0  879 1437  0  0 100  0  0  0
 0  0      0 8545220  22288 2781220    0    0     0     0  264  450  0  0 100  0  0  0
 0  0      0 8545220  22296 2781212    0    0     0    10   86  136  0  0 100  0  0  0
 0  0      0 8548792  22296 2781212    0    0     0     0 2392 4119  0  0 99  0  0  0
 0  0      0 8545788  22376 2784988    0    0     0   222  319  401  0  0 99  0  0  0
 0  0      0 8545788  22376 2784988    0    0     0     0  153  263  0  0 100  0  0  0
 0  0      0 8546928  22376 2784996    0    0     0     0  874 1445  0  0 100  0  0  0
 0  0      0 8547012  22384 2784988    0    0     0    46  105  168  0  0 100  0  0  0
 0  0      0 8545512  22392 2785236    0    0   178     0 3263 5693  1  1 99  0  0  0
 0  0      0 8545384  22392 2785236    0    0     0     0  159  295  0  0 100  0  0  0
 0  0      0 8545384  22392 2785236    0    0     0     0  122  196  0  0 100  0  0  0
 0  0      0 8544944  22400 2785348    0    0     0    16  804 1281  0  0 100  0  0  0
 1  0      0 8544944  22400 2785348    0    0     0  3652  108  184  0  0 100  0  0  0
